110 Landroid/accounts/AccountManager;->addAccount
112 Landroid/accounts/AccountManager;->addAccountExplicitly
113 Landroid/accounts/AccountManager;->addOnAccountsUpdatedListener
115 Landroid/accounts/AccountManager;->blockingGetAuthToken
116 Landroid/accounts/AccountManager;->clearPassword
117 Landroid/accounts/AccountManager;->confirmCredentials
122 Landroid/accounts/AccountManager;->getAccounts
124 Landroid/accounts/AccountManager;->getAccountsByType
125 Landroid/accounts/AccountManager;->getAccountsByTypeAndFeatures
129 Landroid/accounts/AccountManager;->getAuthToken
130 Landroid/accounts/AccountManager;->getAuthTokenByFeatures
134 Landroid/accounts/AccountManager;->getPassword
137 Landroid/accounts/AccountManager;->getUserData
138 Landroid/accounts/AccountManager;->hasFeatures
139 Landroid/accounts/AccountManager;->invalidateAuthToken
142 Landroid/accounts/AccountManager;->peekAuthToken
143 Landroid/accounts/AccountManager;->removeAccount
150 Landroid/accounts/AccountManager;->setAuthToken
151 Landroid/accounts/AccountManager;->setPassword
152 Landroid/accounts/AccountManager;->setUserData
154 Landroid/accounts/AccountManager;->updateCredentials
837 Landroid/app/ActivityManager;->getRecentTasks
843 Landroid/app/ActivityManager;->getRunningTasks
855 Landroid/app/ActivityManager;->killBackgroundProcesses
856 Landroid/app/ActivityManager;->moveTaskToFront
859 Landroid/app/ActivityManager;->restartPackage
937 Landroid/app/AlarmManager;->setTimeZone
1202 Landroid/app/DownloadManager;->addCompletedDownload
1203 Landroid/app/DownloadManager;->enqueue
1207 Landroid/app/DownloadManager;->getUriForDownloadedFile
1567 Landroid/app/KeyguardManager$KeyguardLock;->disableKeyguard
1568 Landroid/app/KeyguardManager$KeyguardLock;->reenableKeyguard
1571 Landroid/app/KeyguardManager;->exitKeyguardSecurely
1940 Landroid/app/NotificationManager;->notify
2244 Landroid/app/WallpaperManager;->clear
2266 Landroid/app/WallpaperManager;->setBitmap
2269 Landroid/app/WallpaperManager;->setResource
2270 Landroid/app/WallpaperManager;->setStream
2273 Landroid/app/WallpaperManager;->suggestDesiredDimensions
2843 Landroid/bluetooth/BluetoothA2dp;->connect
2844 Landroid/bluetooth/BluetoothA2dp;->disconnect
2846 Landroid/bluetooth/BluetoothA2dp;->getConnectedDevices
2847 Landroid/bluetooth/BluetoothA2dp;->getConnectionState
2848 Landroid/bluetooth/BluetoothA2dp;->getDevicesMatchingConnectionStates
2849 Landroid/bluetooth/BluetoothA2dp;->getPriority
2850 Landroid/bluetooth/BluetoothA2dp;->isA2dpPlaying
2854 Landroid/bluetooth/BluetoothA2dp;->setPriority
2866 Landroid/bluetooth/BluetoothAdapter;->cancelDiscovery
2871 Landroid/bluetooth/BluetoothAdapter;->disable
2872 Landroid/bluetooth/BluetoothAdapter;->enable
2875 Landroid/bluetooth/BluetoothAdapter;->getAddress
2879 Landroid/bluetooth/BluetoothAdapter;->getBondedDevices
2884 Landroid/bluetooth/BluetoothAdapter;->getName
2885 Landroid/bluetooth/BluetoothAdapter;->getProfileConnectionState
2888 Landroid/bluetooth/BluetoothAdapter;->getScanMode
2889 Landroid/bluetooth/BluetoothAdapter;->getState
2890 Landroid/bluetooth/BluetoothAdapter;->getUuids
2892 Landroid/bluetooth/BluetoothAdapter;->isDiscovering
2893 Landroid/bluetooth/BluetoothAdapter;->isEnabled
2901 Landroid/bluetooth/BluetoothAdapter;->listenUsingInsecureRfcommWithServiceRecord
2903 Landroid/bluetooth/BluetoothAdapter;->listenUsingRfcommWithServiceRecord
2907 Landroid/bluetooth/BluetoothAdapter;->setName
2910 Landroid/bluetooth/BluetoothAdapter;->startDiscovery
2942 Landroid/bluetooth/BluetoothDevice;->createInsecureRfcommSocketToServiceRecord
2944 Landroid/bluetooth/BluetoothDevice;->createRfcommSocketToServiceRecord
2949 Landroid/bluetooth/BluetoothDevice;->fetchUuidsWithSdp
2953 Landroid/bluetooth/BluetoothDevice;->getBluetoothClass
2954 Landroid/bluetooth/BluetoothDevice;->getBondState
2956 Landroid/bluetooth/BluetoothDevice;->getName
2961 Landroid/bluetooth/BluetoothDevice;->getUuids
3076 Landroid/bluetooth/BluetoothHeadset;->connect
3081 Landroid/bluetooth/BluetoothHeadset;->disconnect
3087 Landroid/bluetooth/BluetoothHeadset;->getConnectedDevices
3088 Landroid/bluetooth/BluetoothHeadset;->getConnectionState
3089 Landroid/bluetooth/BluetoothHeadset;->getDevicesMatchingConnectionStates
3090 Landroid/bluetooth/BluetoothHeadset;->getPriority
3091 Landroid/bluetooth/BluetoothHeadset;->isAudioConnected
3099 Landroid/bluetooth/BluetoothHeadset;->setPriority
3101 Landroid/bluetooth/BluetoothHeadset;->startVoiceRecognition
3103 Landroid/bluetooth/BluetoothHeadset;->stopVoiceRecognition
3133 Landroid/bluetooth/BluetoothHealth;->connectChannelToSource
3134 Landroid/bluetooth/BluetoothHealth;->disconnectChannel
3140 Landroid/bluetooth/BluetoothHealth;->registerSinkAppConfiguration
3141 Landroid/bluetooth/BluetoothHealth;->unregisterAppConfiguration
3205 Landroid/bluetooth/BluetoothSocket;->connect
3587 Landroid/content/ContentResolver;->addPeriodicSync
3597 Landroid/content/ContentResolver;->getCurrentSync
3598 Landroid/content/ContentResolver;->getCurrentSyncs
3600 Landroid/content/ContentResolver;->getIsSyncable
3602 Landroid/content/ContentResolver;->getMasterSyncAutomatically
3605 Landroid/content/ContentResolver;->getPeriodicSyncs
3611 Landroid/content/ContentResolver;->getSyncAutomatically
3618 Landroid/content/ContentResolver;->isSyncActive
3619 Landroid/content/ContentResolver;->isSyncPending
3630 Landroid/content/ContentResolver;->removePeriodicSync
3634 Landroid/content/ContentResolver;->setIsSyncable
3635 Landroid/content/ContentResolver;->setMasterSyncAutomatically
3637 Landroid/content/ContentResolver;->setSyncAutomatically
3706 Landroid/content/Context;->clearWallpaper
3771 Landroid/content/Context;->removeStickyBroadcast
3777 Landroid/content/Context;->sendStickyBroadcast
3779 Landroid/content/Context;->sendStickyOrderedBroadcast
3782 Landroid/content/Context;->setWallpaper
3866 Landroid/content/ContextWrapper;->removeStickyBroadcast
3873 Landroid/content/ContextWrapper;->sendStickyBroadcast
3875 Landroid/content/ContextWrapper;->sendStickyOrderedBroadcast
7122 Landroid/hardware/Camera;->open
9328 Landroid/inputmethodservice/KeyboardView;->onLongPress
9332 Landroid/inputmethodservice/KeyboardView;->setKeyboard
9596 Landroid/location/LocationManager;->addGpsStatusListener
9597 Landroid/location/LocationManager;->addNmeaListener
9598 Landroid/location/LocationManager;->addProximityAlert
9599 Landroid/location/LocationManager;->addTestProvider
9600 Landroid/location/LocationManager;->clearTestProviderEnabled
9601 Landroid/location/LocationManager;->clearTestProviderLocation
9602 Landroid/location/LocationManager;->clearTestProviderStatus
9604 Landroid/location/LocationManager;->getBestProvider
9606 Landroid/location/LocationManager;->getLastKnownLocation
9608 Landroid/location/LocationManager;->getProvider
9609 Landroid/location/LocationManager;->getProviders
9610 Landroid/location/LocationManager;->isProviderEnabled
9619 Landroid/location/LocationManager;->removeTestProvider
9621 Landroid/location/LocationManager;->requestLocationUpdates
9622 Landroid/location/LocationManager;->requestSingleUpdate
9623 Landroid/location/LocationManager;->sendExtraCommand
9625 Landroid/location/LocationManager;->setTestProviderEnabled
9626 Landroid/location/LocationManager;->setTestProviderLocation
9627 Landroid/location/LocationManager;->setTestProviderStatus
9651 Landroid/media/AsyncPlayer;->play
9653 Landroid/media/AsyncPlayer;->stop
9734 Landroid/media/AudioManager;->isBluetoothA2dpOn
9748 Landroid/media/AudioManager;->isWiredHeadsetOn
9769 Landroid/media/AudioManager;->setBluetoothScoOn
9773 Landroid/media/AudioManager;->setMicrophoneMute
9774 Landroid/media/AudioManager;->setMode
9775 Landroid/media/AudioManager;->setParameters
9781 Landroid/media/AudioManager;->setSpeakerphoneOn
9790 Landroid/media/AudioManager;->startBluetoothSco
9792 Landroid/media/AudioManager;->stopBluetoothSco
9812 Landroid/media/AudioRecord;-><init>
10386 Landroid/media/MediaPlayer;->pause
10389 Landroid/media/MediaPlayer;->release
10390 Landroid/media/MediaPlayer;->reset
10417 Landroid/media/MediaPlayer;->setWakeMode
10418 Landroid/media/MediaPlayer;->start
10419 Landroid/media/MediaPlayer;->stop
10436 Landroid/media/MediaRecorder;->setAudioSource
10455 Landroid/media/MediaRecorder;->setVideoSource
10660 Landroid/media/Ringtone;->play
10662 Landroid/media/Ringtone;->setStreamType
10664 Landroid/media/Ringtone;->stop
10671 Landroid/media/RingtoneManager;->getRingtone
10678 Landroid/media/RingtoneManager;->setActualDefaultRingtoneUri
10682 Landroid/media/RingtoneManager;->stopPreviousRingtone
10917 Landroid/media/effect/EffectContext;->release
11592 Landroid/net/ConnectivityManager;->getActiveNetworkInfo
11596 Landroid/net/ConnectivityManager;->getAllNetworkInfo
11611 Landroid/net/ConnectivityManager;->getNetworkInfo
11612 Landroid/net/ConnectivityManager;->getNetworkPreference
11624 Landroid/net/ConnectivityManager;->isActiveNetworkMetered
11641 Landroid/net/ConnectivityManager;->requestRouteToHost
11647 Landroid/net/ConnectivityManager;->setNetworkPreference
11653 Landroid/net/ConnectivityManager;->startUsingNetworkFeature
11654 Landroid/net/ConnectivityManager;->stopUsingNetworkFeature
12250 Landroid/net/sip/SipAudioCall;->close
12252 Landroid/net/sip/SipAudioCall;->endCall
12263 Landroid/net/sip/SipAudioCall;->setSpeakerMode
12264 Landroid/net/sip/SipAudioCall;->startAudio
12268 Landroid/net/sip/SipManager;->close
12274 Landroid/net/sip/SipManager;->getSessionFor
12277 Landroid/net/sip/SipManager;->isOpened
12278 Landroid/net/sip/SipManager;->isRegistered
12281 Landroid/net/sip/SipManager;->makeAudioCall
12283 Landroid/net/sip/SipManager;->open
12284 Landroid/net/sip/SipManager;->register
12285 Landroid/net/sip/SipManager;->setRegistrationListener
12286 Landroid/net/sip/SipManager;->takeAudioCall
12287 Landroid/net/sip/SipManager;->unregister
12412 Landroid/net/wifi/WifiManager$MulticastLock;->acquire
12415 Landroid/net/wifi/WifiManager$MulticastLock;->release
12418 Landroid/net/wifi/WifiManager$WifiLock;->acquire
12421 Landroid/net/wifi/WifiManager$WifiLock;->release
12430 Landroid/net/wifi/WifiManager;->addNetwork
12442 Landroid/net/wifi/WifiManager;->disableNetwork
12443 Landroid/net/wifi/WifiManager;->disconnect
12445 Landroid/net/wifi/WifiManager;->enableNetwork
12455 Landroid/net/wifi/WifiManager;->getConfiguredNetworks
12456 Landroid/net/wifi/WifiManager;->getConnectionInfo
12459 Landroid/net/wifi/WifiManager;->getDhcpInfo
12462 Landroid/net/wifi/WifiManager;->getScanResults
12468 Landroid/net/wifi/WifiManager;->getWifiState
12490 Landroid/net/wifi/WifiManager;->isWifiEnabled
12492 Landroid/net/wifi/WifiManager;->pingSupplicant
12494 Landroid/net/wifi/WifiManager;->reassociate
12495 Landroid/net/wifi/WifiManager;->reconnect
12496 Landroid/net/wifi/WifiManager;->removeNetwork
12499 Landroid/net/wifi/WifiManager;->saveConfiguration
